alert_id,timestamp,priority,status,category,driver_id,driver_name,driver_initials,driver_company,alert_type,zone,sla_met,sla_target_hours,resolution_hours,assigned_team,operator_id,operator_name,operator_initials,operator_role
ALT005960,2026-05-24T21:09:48,low,closed,Public Bus,DRV10600,Bilal Al Mansouri,BM,RTA Public Buses,Mobile Phone Usage,Deira,yes,24,8.7,Marine Patrol,OP011,Sultan Al Awadhi,SA,Operator
ALT006957,2026-05-24T21:09:27,low,in_progress,Taxi,DRV11185,Salim Al Zaabi,SZ,Citi Taxi,Failure to Yield,Mirdif,yes,24,0.5,Traffic Operations A,OP001,Ahmed Salem,AS,Senior Operator
ALT001433,2026-05-24T21:09:14,low,fined,Taxi,DRV11409,Nasser Al Suwaidi,NS,Cars Taxi,Lane Discipline,Business Bay,no,24,52.2,Traffic Operations A,OP004,Mariam Khan,MK,Junior Operator
ALT006257,2026-05-24T21:08:15,high,closed,Marine,DRV10715,Ahmed Al Marri,AM,Dubai Marine Transport,Unauthorized Pickup,Business Bay,no,4,4.8,Traffic Operations A,OP003,Omar Al Falasi,OF,Operator
ALT005123,2026-05-24T21:07:51,low,escalated,Hourly Rental,DRV11484,Mahmoud Al Maktoum,MM,Hala Rides,Tampered Meter,Business Bay,no,24,66.9,Public Transit Unit,OP016,Mansour Al Zaabi,MZ,Junior Operator
ALT006177,2026-05-24T21:06:57,medium,escalated,Public Bus,DRV12486,Salim Al Awadhi,SA,RTA Public Buses,Excessive Idling,Dubai Sports City,no,12,59.6,Marine Patrol,OP010,Rashid Al Shamsi,RS,Operator
ALT008049,2026-05-24T21:06:55,low,closed,Taxi,DRV10253,Tariq Al Marri,TM,Cars Taxi,Excessive Idling,Deira,no,24,32.2,Field Response Team,OP023,Ziad Al Falasi,ZF,Operator
ALT007969,2026-05-24T21:06:40,low,closed,Taxi,DRV12059,Ayman Al Marri,AM,Metro Taxi,Reckless Lane Change,Business Bay,yes,24,18.8,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT002891,2026-05-24T21:06:35,low,closed,Public Bus,DRV10877,Ayman Al Owais,AO,Emirates Transport,Unauthorized Pickup,Mirdif,no,24,35.6,Traffic Operations A,OP002,Khalid Al Suwaidi,KA,Operator
ALT002215,2026-05-24T21:06:24,low,new,Public Bus,DRV10967,Adel Al Mansouri,AM,RTA Public Buses,Failure to Yield,Al Barsha,yes,24,2.5,Traffic Operations A,OP002,Khalid Al Suwaidi,KA,Operator
ALT006206,2026-05-24T21:05:56,low,escalated,Limousine & E-Hail,DRV11682,Fadi Al Nuaimi,FN,Hala Rides,Lane Discipline,Dubai Sports City,no,24,66.5,Marine Patrol,OP011,Sultan Al Awadhi,SA,Operator
ALT006194,2026-05-24T21:05:47,medium,in_progress,Public Bus,DRV12333,Faisal Al Qassimi,FQ,RTA Public Buses,Excessive Idling,Mirdif,yes,12,4.0,Smart Enforcement,OP017,Hamad Al Qassimi,HQ,Senior Operator
ALT000502,2026-05-24T21:05:21,medium,escalated,Limousine & E-Hail,DRV11263,Saeed Al Qassimi,SQ,Genie Limousine,Tampered Meter,Silicon Oasis,no,12,82.6,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT003941,2026-05-24T21:05:17,low,closed,Public Bus,DRV10089,Adel Al Suwaidi,AS,RTA Public Buses,Route Deviation,Downtown Dubai,no,24,79.7,Field Response Team,OP023,Ziad Al Falasi,ZF,Operator
ALT005215,2026-05-24T21:05:06,high,closed,Limousine & E-Hail,DRV10501,Ahmed Al Suwaidi,AS,Hala Rides,Unauthorized Stop,Jumeirah,no,4,5.4,Smart Enforcement,OP018,Adel Al Hammadi,AH,Operator
ALT003571,2026-05-24T21:04:50,low,closed,Hourly Rental,DRV11198,Mohammed Al Nuaimi,MN,Careem,Unauthorized Pickup,JBR,yes,24,5.7,Marine Patrol,OP009,Saeed Al Nuaimi,SN,Senior Operator
ALT005982,2026-05-24T21:03:58,medium,fined,Taxi,DRV10912,Ziad Al Naqbi,ZN,Metro Taxi,Failure to Yield,Al Barsha,no,12,18.9,Traffic Operations A,OP002,Khalid Al Suwaidi,KA,Operator
ALT002499,2026-05-24T21:03:52,low,closed,Public Bus,DRV11433,Faisal Al Tayer,FT,Emirates Transport,Unauthorized Stop,Al Barsha,yes,24,13.2,Public Transit Unit,OP014,Yousef Al Mazrouei,YM,Operator
ALT006838,2026-05-24T21:03:33,low,closed,Taxi,DRV12452,Ibrahim Al Zaabi,IZ,Citi Taxi,Red Light Violation,Al Barsha,no,24,51.7,Traffic Operations A,OP003,Omar Al Falasi,OF,Operator
ALT003405,2026-05-24T21:03:28,low,closed,Taxi,DRV11725,Walid Al Tayer,WT,Cars Taxi,Excessive Idling,JBR,no,24,30.8,Smart Enforcement,OP019,Marwan Al Mansouri,MM,Operator
