alert_id,timestamp,alert_type,alert_label,severity,state,source,category,driver_name,driver_initials,driver_company,vehicle_plate,zone,location,speed_kmh,ai_recommendation,duplicated
TRG001400,2026-05-24T22:06:26,distraction,Driver Distraction,medium,closed,MNVR,Hourly Rental,Stefan Tucker,ST,Careem,DXB-P-52041,JBR,The Beach Promenade,,Schedule supervisor review,no
TRG002785,2026-05-24T22:05:30,camera,Camera Disconnection,medium,open,ETMP,Hourly Rental,Johan Green,JG,Careem,DXB-F-96344,Al Rashidiya,Rashidiya Metro Rd,,Verify cable connection at next stop,no
TRG001580,2026-05-24T22:04:52,harsh,Harsh Driving,high,closed,DS/Teams,Taxi,Fabian Freeman,FF,Cars Taxi,DXB-S-34527,Downtown Dubai,Sheikh Mohammed Bin Rashid Blvd,108,Issue coaching alert to driver,no
TRG000419,2026-05-24T22:03:45,fatigue,Driver Fatigue,medium,closed,DS/Teams,Hourly Rental,Sergei Chavez,SC,Hala Rides,DXB-M-33574,Al Barsha,Mall of the Emirates,,Route to nearest rest stop,no
TRG000493,2026-05-24T22:03:12,distraction,Driver Distraction,low,open,DS/Teams,School Bus,Oscar Tucker,OT,School Transport Services,DXB-S-7686,Deira,Al Maktoum Road,,"Acknowledge — minor, log only",no
TRG001883,2026-05-24T22:00:29,fatigue,Driver Fatigue,medium,open,MNVR,Taxi,Pablo Lawrence,PL,Metro Taxi,DXB-A-67715,JBR,Jumeirah Beach Residence,,Route to nearest rest stop,no
TRG001034,2026-05-24T21:59:25,distraction,Driver Distraction,low,open,MNVR,Limousine & E-Hail,Anton Richardson,AR,Hala Rides,DXB-I-39203,Business Bay,Bay Avenue,,"Acknowledge — minor, log only",no
TRG002123,2026-05-24T21:59:22,harsh,Harsh Driving,medium,closed,DS/Teams,Taxi,David Chavez,DC,Citi Taxi,DXB-R-88925,Downtown Dubai,Financial Center Rd,75,Issue coaching alert to driver,no
TRG001233,2026-05-24T21:58:58,fatigue,Driver Fatigue,high,open,MNVR,School Bus,Luca Adams,LA,Emirates Transport,DXB-S-2811,Mirdif,Tripoli Street,,Route to nearest rest stop,no
TRG002199,2026-05-24T21:58:31,signal,No Signal,medium,open,DS/Teams,Public Bus,Charles Gray,CG,Emirates Transport,DXB-B-7389,Dubai Marina,Sheikh Zayed Rd Junction,,Auto-resolve when signal restored,no
TRG001064,2026-05-24T21:58:01,signal,No Signal,medium,closed,MNVR,Taxi,Andre Weaver,AW,Dubai Taxi Corporation,DXB-N-52146,Silicon Oasis,Dubai Silicon Oasis Hub,,Acknowledge — temporary blackout zone,no
TRG000065,2026-05-24T21:57:37,idling,Idling,low,closed,MNVR,Limousine & E-Hail,Lucas Willis,LW,Uber Fleet,DXB-F-78309,Dubai Marina,Marina Walk,,Flag for daily review,no
TRG000892,2026-05-24T21:57:32,idling,Idling,low,open,DS/Teams,Taxi,Wei Flores,WF,National Taxi,DXB-H-59726,Al Qusais,Beirut Street,,Send efficiency reminder to driver,no
TRG000150,2026-05-24T21:57:10,camera,Camera Disconnection,high,closed,DS/Teams,School Bus,Niko Powell,NP,Emirates Transport,DXB-S-2990,Jebel Ali,Ibn Battuta Road,,Verify cable connection at next stop,no
TRG002542,2026-05-24T21:57:04,signal,No Signal,high,closed,MNVR,Taxi,Julian Ramirez,JR,Citi Taxi,DXB-A-91408,Deira,Al Maktoum Road,,Re-establish GPS handshake,yes
TRG000447,2026-05-24T21:56:21,fatigue,Driver Fatigue,high,open,MNVR,Taxi,James White,JW,Arabia Taxi,DXB-J-92969,Dubai Investment Park,Green Community,,Route to nearest rest stop,no
TRG000939,2026-05-24T21:55:10,fatigue,Driver Fatigue,medium,investigation,MNVR,Taxi,Rohan Duncan,RD,Arabia Taxi,DXB-L-67329,Dubai Investment Park,Schoolzone Rd,,Confirm with supervisor & monitor,no
TRG000606,2026-05-24T21:55:06,idling,Idling,low,open,DS/Teams,Taxi,Arjun Taylor,AT,Citi Taxi,DXB-H-94050,Downtown Dubai,Sheikh Mohammed Bin Rashid Blvd,,Flag for daily review,no
TRG001116,2026-05-24T21:53:48,distraction,Driver Distraction,high,closed,MNVR,School Bus,Peter Hughes,PH,School Transport Services,DXB-S-8455,Dubai Marina,Marina Walk,,Send live coaching prompt to driver,no
TRG000614,2026-05-24T21:53:14,distraction,Driver Distraction,low,open,ETMP,Taxi,Niko Austin,NA,Dubai Taxi Corporation,DXB-D-49345,Silicon Oasis,Wadi Al Safa St,,Issue formal warning — 2nd offense,no
TRG002261,2026-05-24T21:52:56,signal,No Signal,low,open,DS/Teams,Taxi,Harry Kennedy,HK,Arabia Taxi,DXB-F-11007,Jebel Ali,Ibn Battuta Road,,Re-establish GPS handshake,no
TRG002527,2026-05-24T21:52:55,signal,No Signal,high,open,MNVR,School Bus,Sipho Cooper,SC,School Transport Services,DXB-S-8007,Jebel Ali,Jebel Ali Free Zone,,Dispatch tech if persistent >15min,no
