violation_id,timestamp,latitude,longitude,zone,severity,violation_type,driver_id,driver_name,driver_initials,driver_category,driver_company,driver_risk_score,driver_risk_label,driver_status,driver_status_label
V-009703,2026-05-24T15:50,25.20705,55.28488,Downtown Dubai,low,Idling,D-02062,Maher Al Mansouri,MM,School Bus,Al Reef School Transport,2.1,Low Risk,active,Active
V-013695,2026-05-24T15:38,25.25442,55.38033,Al Rashidiya,moderate,Speeding,D-02874,Mansour Al Kaabi,MK,Limousine & E-Hail,Careem Fleet,5.6,Moderate,active,Active
V-014459,2026-05-24T15:30,24.98072,55.16216,Dubai Investment Park,low,Idling,D-03054,Bandar Al Awadhi,BA,Marine,Dubai Ferry Services,6.7,High Risk,active,Active
V-006995,2026-05-24T15:23,25.1293,55.1906,Al Barsha,high,Route Deviation,D-01470,Faisal Al Tamimi,FT,Public Bus,RTA Public Transport,9.3,Critical,suspended,Suspended
V-011059,2026-05-24T15:16,25.2553,55.38285,Al Rashidiya,moderate,Speeding,D-02348,Nayef Al Nuaimi,NN,Limousine & E-Hail,Emirates Limousine,5.1,Moderate,active,Active
V-006621,2026-05-24T15:13,25.18526,55.22899,Jumeirah,low,Route Deviation,D-01405,Nasser Al Awadhi,NA,Public Bus,Dubai Transport Co.,4.2,Moderate,active,Active
V-011834,2026-05-24T15:00,25.27447,55.31146,Deira,moderate,Speeding,D-02516,Hisham Al Mansoori,HM,Limousine & E-Hail,Careem Fleet,7.9,High Risk,active,Active
V-008628,2026-05-24T14:52,24.98216,55.09628,Jebel Ali,high,Phone Use,D-01831,Ammar Al Mehairi,AM,School Bus,GEMS Transport,6.5,High Risk,investigation,Under Investigation
V-011581,2026-05-24T14:45,25.23872,55.38508,Al Rashidiya,moderate,Distraction,D-02467,Hassan Al Otaiba,HO,Limousine & E-Hail,Uber Dubai,6.6,High Risk,active,Active
V-012065,2026-05-24T14:43,25.22692,55.41341,Mirdif,high,Distraction,D-02562,Ali Al Mulla,AM,Limousine & E-Hail,Uber Dubai,8.0,Critical,suspended,Suspended
V-007286,2026-05-24T14:03,25.21412,55.26683,Downtown Dubai,moderate,Speeding,D-01529,Mubarak Al Naqbi,MN,Public Bus,Dubai Transport Co.,3.8,Moderate,active,Active
V-015158,2026-05-24T14:01,25.1901,55.26577,Business Bay,low,Speeding,D-03196,Adel Al Ali,AA,Hourly Rental,Sixt UAE,0.8,Low Risk,active,Active
V-014996,2026-05-24T14:00,25.08828,55.13975,JBR,low,Harsh Braking,D-03160,Marwan Al Awadhi,MA,Hourly Rental,Hertz UAE,1.4,Low Risk,active,Active
V-009440,2026-05-24T13:55,25.29708,55.38858,Al Qusais,moderate,Speeding,D-02015,Faisal Al Falasi,FF,School Bus,Al Mawakeb Transport,7.6,High Risk,active,Active
V-008026,2026-05-24T13:52,25.22401,55.43942,Mirdif,high,Phone Use,D-01698,Mohammed Al Mansoori,MM,Public Bus,RTA Public Transport,3.7,Moderate,active,Active
V-011313,2026-05-24T13:32,25.15213,55.21778,Al Quoz,low,Phone Use,D-02409,Sultan Al Mulla,SM,Limousine & E-Hail,Careem Fleet,9.4,Critical,suspended,Suspended
V-003421,2026-05-24T13:08,25.06748,55.13409,Dubai Marina,low,Route Deviation,D-00716,Ahmed Al Ameri,AA,Taxi,Al Naboodah Taxi,7.4,High Risk,active,Active
V-007363,2026-05-24T12:59,25.07394,55.13025,Dubai Marina,high,Speeding,D-01555,Saeed Al Hosani,SH,Public Bus,Dubai Transport Co.,4.8,Moderate,active,Active
V-012791,2026-05-24T12:44,25.10861,55.21273,Al Barsha,high,Speeding,D-02705,Saif Al Nuaimi,SN,Limousine & E-Hail,Careem Fleet,9.2,Critical,suspended,Suspended
V-005746,2026-05-24T12:43,25.23405,55.379,Al Rashidiya,high,Camera Tampering,D-01216,Ibrahim Al Naqbi,IN,Public Bus,RTA Public Transport,6.1,Moderate,active,Active
V-015257,2026-05-24T12:30,25.18698,55.25526,Business Bay,moderate,Phone Use,D-03219,Mubarak Al Mehairi,MM,Hourly Rental,Avis Dubai,7.9,High Risk,investigation,Under Investigation
V-008341,2026-05-24T12:09,25.08382,55.16141,Dubai Marina,low,Harsh Braking,D-01762,Rashid Al Mazrouei,RM,School Bus,Al Mawakeb Transport,4.6,Moderate,active,Active
V-006253,2026-05-24T12:05,25.16565,55.22857,Al Quoz,high,Driver Fatigue,D-01310,Obaid Al Mahmoud,OM,Public Bus,RTA Public Transport,6.8,High Risk,active,Active
V-006438,2026-05-24T11:55,25.20011,55.27629,Downtown Dubai,low,Speeding,D-01359,Walid Al Otaiba,WO,Public Bus,Dubai Transport Co.,0.8,Low Risk,active,Active
V-011639,2026-05-24T11:51,25.20454,55.28411,Downtown Dubai,low,Route Deviation,D-02475,Karim Al Hosani,KH,Limousine & E-Hail,Al Ghazal Transport,9.2,Critical,investigation,Under Investigation
V-008725,2026-05-24T11:47,25.06844,55.14164,Dubai Marina,low,Distraction,D-01852,Rashid Al Shamsi,RS,School Bus,GEMS Transport,3.3,Low Risk,active,Active
V-002428,2026-05-24T11:40,25.06667,55.22491,Dubai Sports City,low,Speeding,D-00513,Ali Bin Hamad,AH,Taxi,Al Naboodah Taxi,0.7,Low Risk,active,Active
V-010254,2026-05-24T11:40,25.19075,55.26107,Business Bay,moderate,Harsh Braking,D-02162,Maher Al Tamimi,MT,School Bus,GEMS Transport,2.6,Low Risk,active,Active
V-016294,2026-05-24T11:38,25.13406,55.39521,Silicon Oasis,high,Speeding,D-03449,Nayef Al Hashemi,NH,Hourly Rental,Hertz UAE,5.8,Moderate,active,Active
V-013390,2026-05-24T11:37,25.18589,55.27473,Downtown Dubai,moderate,Lane Violation,D-02823,Saeed Al Khouri,SK,Limousine & E-Hail,Al Ghazal Transport,7.8,High Risk,active,Active
V-012592,2026-05-24T11:18,24.98005,55.11182,Jebel Ali,moderate,Lane Violation,D-02667,Yousef Al Dhaheri,YD,Limousine & E-Hail,Al Ghazal Transport,4.2,Moderate,active,Active
V-011036,2026-05-24T11:15,25.09265,55.12522,JBR,low,Idling,D-02344,Talal Al Hashimi,TH,Limousine & E-Hail,Emirates Limousine,1.7,Low Risk,active,Active
V-009096,2026-05-24T10:44,25.13288,55.19986,Al Barsha,low,Harsh Braking,D-01957,Obaid Al Zaabi,OZ,School Bus,Al Mawakeb Transport,7.6,High Risk,active,Active
V-001706,2026-05-24T10:41,25.19772,55.26497,Business Bay,moderate,Speeding,D-00371,Hani Al Awadhi,HA,Taxi,Cars Taxi,9.0,Critical,investigation,Under Investigation
V-000026,2026-05-24T10:39,25.20834,55.29171,Downtown Dubai,moderate,Driver Fatigue,D-00009,Turki Al Bastaki,TB,Taxi,Dubai Taxi Corp,7.8,High Risk,investigation,Under Investigation
V-009918,2026-05-24T10:38,25.2826,55.33129,Deira,moderate,Phone Use,D-02109,Faisal Al Dhaheri,FD,School Bus,GEMS Transport,8.9,Critical,suspended,Suspended
V-005079,2026-05-24T10:32,25.07731,55.13622,JBR,low,Idling,D-01087,Marwan Al Sharqi,MS,Taxi,Dubai Taxi Corp,1.3,Low Risk,active,Active
V-014025,2026-05-24T10:30,24.99604,55.18195,Dubai Investment Park,low,Speeding,D-02954,Ali Al Sayegh,AS,Marine,Dubai Ferry Services,2.3,Low Risk,active,Active
V-009774,2026-05-24T10:26,25.18987,55.27493,Business Bay,moderate,Speeding,D-02078,Sultan Al Awadhi,SA,School Bus,Al Reef School Transport,6.4,Moderate,active,Active
V-011666,2026-05-24T10:21,25.26352,55.31936,Deira,high,Speeding,D-02485,Yusuf Al Rashidi,YR,Limousine & E-Hail,Al Ghazal Transport,4.6,Moderate,active,Active
V-009939,2026-05-24T10:07,25.05943,55.24958,Dubai Sports City,moderate,Harsh Braking,D-02111,Abdullah Al Sharqi,AS,School Bus,GEMS Transport,7.2,High Risk,active,Active
V-010385,2026-05-24T10:05,25.28681,55.41722,Al Qusais,moderate,Phone Use,D-02186,Hamad Al Hashimi,HH,School Bus,Al Reef School Transport,7.7,High Risk,active,Active
V-013852,2026-05-24T10:01,25.25833,55.38227,Al Rashidiya,moderate,Speeding,D-02912,Turki Al Mazrouei,TM,Marine,Emirates Marine Transport,9.7,Critical,suspended,Suspended
V-000219,2026-05-24T09:57,25.10782,55.20976,Al Barsha,high,Speeding,D-00054,Maher Al Marri,MM,Taxi,National Taxi,5.2,Moderate,active,Active
V-004021,2026-05-24T09:56,25.27782,55.31539,Deira,high,Phone Use,D-00851,Hamdan Al Zaabi,HZ,Taxi,Cars Taxi,5.4,Moderate,active,Active
V-012523,2026-05-24T09:51,25.11446,55.20564,Al Barsha,low,Phone Use,D-02649,Saif Al Hashemi,SH,Limousine & E-Hail,Al Ghazal Transport,9.2,Critical,investigation,Under Investigation
V-004620,2026-05-24T09:49,25.07881,55.12608,JBR,moderate,Speeding,D-00981,Ahmed Al Qasimi,AQ,Taxi,Metro Taxi,6.2,Moderate,active,Active
V-013353,2026-05-24T09:46,25.07911,55.12433,JBR,moderate,Phone Use,D-02819,Nayef Al Sayegh,NS,Limousine & E-Hail,Emirates Limousine,6.8,High Risk,suspended,Suspended
V-005815,2026-05-24T09:45,25.23761,55.37681,Al Rashidiya,high,Lane Violation,D-01235,Salem Al Marri,SM,Public Bus,Dubai Transport Co.,5.8,Moderate,active,Active
V-006523,2026-05-24T09:45,25.20989,55.26723,Downtown Dubai,low,Phone Use,D-01378,Ziad Al Awadhi,ZA,Public Bus,RTA Public Transport,7.3,High Risk,active,Active
V-007684,2026-05-24T09:43,25.30216,55.41118,Al Qusais,moderate,Camera Tampering,D-01628,Hamdan Al Mahmoud,HM,Public Bus,Dubai Transport Co.,5.5,Moderate,active,Active
V-010955,2026-05-24T09:41,25.13197,55.40486,Silicon Oasis,low,Speeding,D-02317,Khalid Al Ameri,KA,Limousine & E-Hail,Careem Fleet,2.8,Low Risk,active,Active
V-003731,2026-05-24T09:37,24.99007,55.10076,Jebel Ali,high,Phone Use,D-00778,Majid Al Khouri,MK,Taxi,Al Naboodah Taxi,3.9,Moderate,active,Active
V-002541,2026-05-24T09:34,25.23505,55.40323,Al Rashidiya,high,Driver Fatigue,D-00533,Khalifa Al Khouri,KK,Taxi,Dubai Taxi Corp,9.3,Critical,investigation,Under Investigation
V-012796,2026-05-24T09:24,25.18312,55.27401,Business Bay,moderate,Route Deviation,D-02705,Saif Al Nuaimi,SN,Limousine & E-Hail,Careem Fleet,9.2,Critical,suspended,Suspended
V-010206,2026-05-24T09:21,25.0775,55.14221,Dubai Marina,high,Speeding,D-02150,Faisal Al Mazrouei,FM,School Bus,GEMS Transport,7.6,High Risk,investigation,Under Investigation
V-004575,2026-05-24T09:18,25.13753,55.37927,Silicon Oasis,moderate,Phone Use,D-00968,Marwan Al Mansoori,MM,Taxi,Dubai Taxi Corp,6.0,Moderate,active,Active
V-004398,2026-05-24T09:13,25.19563,55.2636,Business Bay,moderate,Lane Violation,D-00928,Saeed Al Romaithi,SR,Taxi,Emirates Taxi LLC,9.5,Critical,investigation,Under Investigation
V-000909,2026-05-24T09:12,25.16548,55.21825,Al Quoz,low,Lane Violation,D-00197,Hassan Al Mehairi,HM,Taxi,Emirates Taxi LLC,2.5,Low Risk,active,Active
V-008803,2026-05-24T09:08,25.26369,55.3137,Deira,moderate,Harsh Braking,D-01877,Rashid Al Naqbi,RN,School Bus,Al Mawakeb Transport,6.6,High Risk,active,Active
